id,skillCardId,name,type,price,limit,forceInitialHand,conditions,cost,effects,growth
a1,127,開始時手札に入る,effect,70,1,TRUE,,,,
a4,305,持続効果+,effect,100,1,,,,"line:2,at:cardUsed,do:score+=goodImpressionTurns*0.5,do:goodImpressionTurns+=1",
a7,149,好印象分パラメータ+,score,100,1,,,,"line:2,do:score+=goodImpressionTurns*3.3",
a8,97,好印象分パラメータ+,score,0,1,,,,"line:1,do:score+=goodImpressionTurns*2",
a11,95,好印象分パラメータ+,score,40,1,,,,"line:2,do:score+=goodImpressionTurns*2.85",
a13,293,パラメータ上昇回数+,score,100,1,,,,,"at:prestage,target:this,do:growth.scoreTimes+=1"
,37,パラメータ+,score,50,1,,,,"line:1,do:score+=44",
a15,379,絶好調+,buff,70,3,,,,"level:1,line:2,do:perfectConditionTurns+=6;level:2,line:2,do:perfectConditionTurns+=7;level:3,line:2,do:perfectConditionTurns+=8",
a20,25,集中追加,buff,70,1,,,,do:concentration+=2,
a21,155,スキルカード使用数+,effect,100,1,,,,do:cardUsesRemaining+=1,
a22,155,パラメータ追加,score,70,1,,,,do:score+=6,
a23,117,好調コスト値-,cost,40,1,,,"line:1,do:goodConditionTurns-=0",,
a24,117,スキルカード強化追加,effect,70,1,,,,do:upgradeHand,
